record_id,rag,rag_role,authority_tier,domain,jurisdiction,subtopic,title,text,source_name,source_url,note,formulation_category
RAG1-AYUSH-0016,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulations Matrix,Monetary Benefit Sharing Percentage on Gross Sales,"Commercial herbal entities pay 0.1% to 0.5% of annual gross ex-factory sales turnover, depending on annual revenue brackets, to the State/National Biodiversity Board.",National Biodiversity Authority (NBA),https://nbaindia.nic.in,Auxiliary domain-context seed from the supplied SIH corpus package. Do not use alone for final legal conclusions.,
RAG1-CONTEXT-0001,RAG1,domain_context,auxiliary_seed,Prior Art & Classical Literature,National (India),TKRC Discipline: Ayurveda,Transcribed Classical Texts - Ayurveda,The TKDL database transcribes 119 volumes/texts of Ayurveda into structured prior-art classifications across 5 international languages.,Traditional Knowledge Digital Library (TKDL),http://www.tkdl.res.in/tkdl/langdefault/common/SourceInfo.asp?GL=Eng,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,Classical
RAG1-CONTEXT-0002,RAG1,domain_context,auxiliary_seed,Prior Art & Classical Literature,National (India),TKRC Discipline: Unani,Transcribed Classical Texts - Unani,The TKDL database transcribes 55 volumes/texts of Unani into structured prior-art classifications across 5 international languages.,Traditional Knowledge Digital Library (TKDL),http://www.tkdl.res.in/tkdl/langdefault/common/SourceInfo.asp?GL=Eng,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,Classical
RAG1-CONTEXT-0003,RAG1,domain_context,auxiliary_seed,Prior Art & Classical Literature,National (India),TKRC Discipline: Siddha,Transcribed Classical Texts - Siddha,The TKDL database transcribes 91 volumes/texts of Siddha into structured prior-art classifications across 5 international languages.,Traditional Knowledge Digital Library (TKDL),http://www.tkdl.res.in/tkdl/langdefault/common/SourceInfo.asp?GL=Eng,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,Classical
RAG1-CONTEXT-0004,RAG1,domain_context,auxiliary_seed,Prior Art & Classical Literature,National (India),TKRC Discipline: Sowa Rigpa,Transcribed Classical Texts - Sowa Rigpa,The TKDL database transcribes 1 volumes/texts of Sowa Rigpa into structured prior-art classifications across 5 international languages.,Traditional Knowledge Digital Library (TKDL),http://www.tkdl.res.in/tkdl/langdefault/common/SourceInfo.asp?GL=Eng,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,Classical
RAG1-CONTEXT-0005,RAG1,domain_context,auxiliary_seed,Prior Art & Classical Literature,National (India),TKRC Discipline: Yoga,Transcribed Classical Texts - Yoga,The TKDL database transcribes 15 volumes/texts of Yoga into structured prior-art classifications across 5 international languages.,Traditional Knowledge Digital Library (TKDL),http://www.tkdl.res.in/tkdl/langdefault/common/SourceInfo.asp?GL=Eng,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,Classical
RAG1-CONTEXT-0006,RAG1,domain_context,auxiliary_seed,Prior Art & Classical Literature,National (India),TKRC Discipline: Total,Transcribed Classical Texts - Total,The TKDL database transcribes 281 volumes/texts of Total into structured prior-art classifications across 5 international languages.,Traditional Knowledge Digital Library (TKDL),http://www.tkdl.res.in/tkdl/langdefault/common/SourceInfo.asp?GL=Eng,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,Classical
RAG1-CONTEXT-0007,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulation,NBA Regulatory Requirement (ABS Regulation),"advise the Central Government on any matter concerning conservation of bio-diversity, sustainable use of its components and fair and equitable sharing of benefits arising out of the use of biological resource and knowledge;",National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0008,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulation,NBA Regulatory Requirement (ABS Regulation),"Provided that if it is necessary and expedient to engage any consultant beyond the period of three years, the Authority shall seek prior approval of the Central Government for such an engagement",National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0009,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulation,NBA Regulatory Requirement (ABS Regulation),"collect, compile and publish technical and statistical data, manuals, codes or guides relating to conservation of biodiversity, sustainable use of its components and fair and equitable sharing of benefits arising out of the use of biological resource and knowledge;",National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0010,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulation,NBA Regulatory Requirement (ABS Regulation),"organise through mass media a comprehensive programme regarding conservation of biodiversity, sustainable use of its components and fair and equitable sharing of benefits arising out of the use of biological resource and knowledge.",National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0011,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulation,NBA Regulatory Requirement (ABS Regulation),"recommend creation of posts to the Central Government, for effective discharge of the functions by the Authority and to create such posts, provided that no such post whether permanent/ temporary or of any nature, would be created without prior approval of the Central Government;",National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0012,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulation,NBA Regulatory Requirement (ABS Regulation),"take steps to build up data base and to create information and documentation system for biological resources and associated traditional knowledge through biodiversity registers and electronic data bases, to ensure effective management, promotion and sustainable uses;",National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0013,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulation,NBA Regulatory Requirement (ABS Regulation),"recommend, modify, collection of benefit sharing fee under sub section (1) of Section 6 or Changes of royalties under sub-section (2) of section 19 in respect of biological resources from time to time ;",National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0014,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulation,NBA Regulatory Requirement (ABS Regulation),take necessary measures including appointment of legal experts to oppose grant of intellectual property right in any country outside India on any biological resource and associated knowledge obtained from India in an illegal manner;,National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0015,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulation,NBA Regulatory Requirement (ABS Regulation),14. Procedure for access to biological resources and associated traditional knowledge,National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0016,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),Rule 14 / Form I,NBA Regulatory Requirement (Rule 14 / Form I),Any person seeking approval of the Authority for access to biological resources and associated knowledge for research or for commercial utilization shall make an application in Form I.,National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0017,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulation,NBA Regulatory Requirement (ABS Regulation),"On being satisfied with the merit of the application, the Authority may grant the approval for access to biological resources and associated knowledge subject to such term and conditions as it may deem fit to impose.",National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0018,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulation,NBA Regulatory Requirement (ABS Regulation),The approval to access shall be in the form of a written agreement duly signed by an authorized officer of the Authority and the applicant.,National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0019,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulation,NBA Regulatory Requirement (ABS Regulation),description of the biological resources and traditional knowledge including accompanying information;,National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0020,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulation,NBA Regulatory Requirement (ABS Regulation),"intended uses of the biological resources (research, breeding, commercial utilization etc.)conditions under which the applicant may seek intellectual property rights;",National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0021,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulation,NBA Regulatory Requirement (ABS Regulation),restriction to transfer the accessed biological resources and the traditional knowledge to any third party without prior approval of Authority;,National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0022,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulation,NBA Regulatory Requirement (ABS Regulation),to adhere to a limit set by the Authority on the quantity and specification of the quality of the biological resources for which the applicant is seeking access;,National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0023,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulation,NBA Regulatory Requirement (ABS Regulation),commitment to facilitate measures for conservation and sustainable use of biological resources accessed ;,National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0024,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulation,NBA Regulatory Requirement (ABS Regulation),"independent enforceability of individual clauses, provision to the extent that obligations in benefit sharing clauses survive the termination of the agreement, events limiting liability (natural calamities), arbitration, any confidentiality clause.",National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0025,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulation,NBA Regulatory Requirement (ABS Regulation),The conditions for access may specifically provide measures for conservation and protection of biological resources to which the access is being granted.,National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0026,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulation,NBA Regulatory Requirement (ABS Regulation),"The Authority shall take steps to widely publicize the approvals granted, through print or electronic media and shall periodically monitor compliance of conditions on which the approval was accorded.",National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0027,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulation,NBA Regulatory Requirement (ABS Regulation),The Authority may either on the basis of any complaint or suo moto withdraw the approval granted for access under rule 15 and revoke the written agreement under the following conditions ; namely:-,National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0028,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulation,NBA Regulatory Requirement (ABS Regulation),on the basis of reasonable belief that the person to whom the approval was granted has violated any of the provisions of the Act or the condition on which the approval was granted ;,National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0029,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulation,NBA Regulatory Requirement (ABS Regulation),when the person who has been granted approval has failed to comply with the terms of the agreement ;,National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0030,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulation,NBA Regulatory Requirement (ABS Regulation),The Authority if it deems necessary and appropriate shall take the steps to restrict or prohibit the request for access to biological resources for the following reasons ; namely :-,National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0031,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),Rule 14 / Form I,NBA Regulatory Requirement (Rule 14 / Form I),"Any person desirous of transferring results of research relating to biological resources obtained from India for monetary consideration to foreign nationals, companies and Non Resident Indians (NRIs), shall make an application to the Authority in the Form II.",National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0032,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulation,NBA Regulatory Requirement (ABS Regulation),"On being satisfied that the applicant has fulfilled all the requirements, the Authority may grant the approval for transferring the results of research subject to such terms and conditions as it may deem fit to impose in each case.",National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0033,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulation,NBA Regulatory Requirement (ABS Regulation),The approval for transfer shall be granted in the form of a written agreement duly signed by an authorized officer of the Authority and the applicant. The form of the agreement shall be such as may be decided by the Authority.,National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0034,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulation,NBA Regulatory Requirement (ABS Regulation),18. Procedure for seeking prior approval before applying for intellectual property protection. -,National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0035,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),Rule 14 / Form I,NBA Regulatory Requirement (Rule 14 / Form I),Any person desirous of applying for a patent or any other intellectual property based on research on biological material and knowledge obtained from India shall make an application in Form III.,National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0036,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulation,NBA Regulatory Requirement (ABS Regulation),"On being satisfied that the applicant has fulfilled all the necessary requirements, the Authority may grant approval for applying for a patent or any other IPR subject to such terms and conditions as it may deem fit to impose in each case.",National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0037,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulation,NBA Regulatory Requirement (ABS Regulation),The approval shall be granted in the form of a written agreement duly signed by an authorized officer of the Authority and the applicant. The form of the agreement may be decided by the Authority.,National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0038,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),Rule 14 / Form I,NBA Regulatory Requirement (Rule 14 / Form I),"The persons who have been granted approval for access to biological resources and associated knowledge, intend to transfer the accessed biological resource or knowledge to any other person or organization shall make an application to the Authority in Form IV.",National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0039,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulation,NBA Regulatory Requirement (ABS Regulation),"On being satisfied that the applicant has fulfilled all the necessary requirements, the Authority may grant approval for third party transfer subject to such terms and conditions it may deem fit to impose in each case.",National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0040,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulation,NBA Regulatory Requirement (ABS Regulation),The approval as may be granted under sub-rule (4) in the form of a written agreement duly signed by an authorized officer of the Authority and the applicant.,National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0041,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulation,NBA Regulatory Requirement (ABS Regulation),The Authority shall by notification in the Official Gazette formulate the guidelines and describe the benefit sharing formula.,National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0042,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulation,NBA Regulatory Requirement (ABS Regulation),The Authority while granting approval to any person for access or for transfer of results of research or applying for patent and IPR or for third party transfer of the accessed biological resource and associated knowledge may impose terms and conditions for ensuring equitable sharing of the benefits arising out of the use of accessed biological material and associated knowledge.,National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0043,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulation,NBA Regulatory Requirement (ABS Regulation),"The quantum of benefits shall be mutually agreed upon between the persons applying for such approval and the Authority in consultation with the local bodies and benefit claimers and may be decided in due regard to the defined parameters of access, the extent of use, the sustainability aspect, impact and expected outcome levels, including measures ensuring conservation and sustainable use of biological diversity.",National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0044,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulation,NBA Regulatory Requirement (ABS Regulation),"Depending upon each case, the Authority shall stipulate the time frame for assessing benefit sharing on short, medium, and long term benefits.",National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
RAG1-CONTEXT-0045,RAG1,domain_context,auxiliary_seed,Access & Benefit Sharing (ABS),National (India),ABS Regulation,NBA Regulatory Requirement (ABS Regulation),"Where biological resources or knowledge is accessed from a specific individual or a group of individuals or organizations, the Authority may take steps to ensure that the agreed amount is paid directly to them through the district administration. Where such individuals or group of individuals or organizations cannot be identified, the monetary benefits shall be deposited in the National Biodiversity Fund.",National Biodiversity Authority (NBA),https://www.nbaindia.nic.in/acts-and-rules/rules,Auxiliary domain-context seed from the supplied SIH corpus package. Verify legal claims against RAG2 authoritative evidence.,General
